target,cohort,lane,scale,split_view,seed,model,rows,baseline_r2,baseline_mae,target_permutation_r2_mean,r2_minus_null
bulk_modulus,maximum_coverage,causal_common,full,row_random,23,hist_gradient_boosting,13028,-16266.492550561685,63913765.16331242,-10562.58310938086,-5703.909441180824
bulk_modulus,maximum_coverage,causal_common,full,row_random,37,ridge,13028,-0.0551566426017708,82933272.93452996,-0.1911965981161603,0.1360399555143894
bulk_modulus,maximum_coverage,causal_common,full,row_random,37,random_forest,13028,-3.973054916601402,37743565.34454367,-38.28688909260676,34.31383417600536
bulk_modulus,maximum_coverage,causal_common,full,row_random,37,extra_trees,13028,-34.53780595723233,88889962.08085191,-11.65818799172058,-22.87961796551175
bulk_modulus,maximum_coverage,causal_common,full,row_random,37,hist_gradient_boosting,13028,-0.328946622377795,60434355.33091717,-0.6477017322862293,0.3187551099084342
bulk_modulus,maximum_coverage,causal_common,full,reduced_composition_group,11,ridge,13028,-0.0164275328775524,86309798.63184164,-0.152002669091374,0.1355751362138215
bulk_modulus,maximum_coverage,causal_common,full,reduced_composition_group,11,random_forest,13028,-0.5818962526606708,42726504.74481052,-11.377913592715892,10.79601734005522
bulk_modulus,maximum_coverage,causal_common,full,reduced_composition_group,11,extra_trees,13028,-1.7647780582160646,58428101.3513127,-3.6136880319650713,1.848909973749007
bulk_modulus,maximum_coverage,causal_common,full,reduced_composition_group,11,hist_gradient_boosting,13028,-0.3650099123374772,75555676.43590759,-0.2168645975967803,-0.1481453147406969
bulk_modulus,maximum_coverage,causal_common,full,reduced_composition_group,23,ridge,13028,-0.0003764056774269,183534130.81749907,-0.0003898672595975,1.346158217063742e-05
bulk_modulus,maximum_coverage,causal_common,full,reduced_composition_group,23,random_forest,13028,0.0051373060814982,193521716.0136158,-0.0008230956577561,0.0059604017392543
bulk_modulus,maximum_coverage,causal_common,full,reduced_composition_group,23,extra_trees,13028,0.0003924100416149,186603195.5376548,-0.0006449489252067,0.0010373589668217
bulk_modulus,maximum_coverage,causal_common,full,reduced_composition_group,23,hist_gradient_boosting,13028,0.0010652720282625,185070065.3511676,-0.0003855480967546,0.0014508201250171
bulk_modulus,maximum_coverage,causal_common,full,reduced_composition_group,37,ridge,13028,-0.330029435169328,78676183.64886755,-0.8622997313441189,0.5322702961747908
bulk_modulus,maximum_coverage,causal_common,full,reduced_composition_group,37,random_forest,13028,-3.43015143559235,20406710.32504831,-176.98657763484587,173.5564261992535
bulk_modulus,maximum_coverage,causal_common,full,reduced_composition_group,37,extra_trees,13028,-25.62609527606877,60079433.94913699,-56.4394356961426,30.81334042007382
bulk_modulus,maximum_coverage,causal_common,full,reduced_composition_group,37,hist_gradient_boosting,13028,-6.761380563404578,66568788.52156784,-3.3158826211169314,-3.4454979422876466
bulk_modulus,maximum_coverage,causal_common,full,chemical_system_group,11,ridge,13028,-0.439093396692457,86075540.45984304,-1.1825842056339038,0.7434908089414467
bulk_modulus,maximum_coverage,causal_common,full,chemical_system_group,11,random_forest,13028,-7.12441806116977,28271888.219992816,-172.20348285119152,165.07906479002176
